source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GT,Uncertainty,Hugging Face,2,0.21,2.47,0.89
GT,Continuous Prediction,Databricks / MosaicML,2,0.21,15.38,0.21
GT,Safety,Hugging Face,2,0.21,2.47,0.46
GT,Continuous Prediction,Stability AI,2,0.21,10.53,0.21
GT,Safety,NVIDIA / NeMo,2,0.21,2.86,0.46
GT,Continuous Prediction,Cohere,2,0.21,10.0,0.21
GT,User Experience,Cohere,2,0.21,10.0,0.41
GT,Fairness,Hugging Face,2,0.21,2.47,1.52
GT,Efficiency / Latency,Cohere,2,0.21,10.0,0.22
GT,User Experience,Hugging Face,2,0.21,2.47,0.41
GT,Safety,Cohere,1,0.11,5.0,0.23
GT,Uncertainty,Databricks / MosaicML,1,0.11,7.69,0.45
GT,Probability,Databricks / MosaicML,1,0.11,7.69,0.23
GT,Accuracy,Databricks / MosaicML,1,0.11,7.69,0.04
GT,Safety,Databricks / MosaicML,1,0.11,7.69,0.23
GT,Explainability,Stability AI,1,0.11,5.26,0.98
GT,Efficiency / Latency,Databricks / MosaicML,1,0.11,7.69,0.11
GT,Probability,Stability AI,1,0.11,5.26,0.23
GT,User Experience,Stability AI,1,0.11,5.26,0.21
GT,Explainability,Microsoft Research,1,0.11,0.34,0.98
GT,Robustness,Stability AI,1,0.11,5.26,0.4
GT,Uncertainty,Cohere,1,0.11,5.0,0.45
GT,Explainability,Cohere,1,0.11,5.0,0.98
GT,Explainability,Hugging Face,1,0.11,1.23,0.98
