source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GT,Personality,Microsoft Research,4,0.46,1.05,4.65
GT,Theory of Mind,Anthropic,4,0.46,0.71,2.65
GT,Cognitive Load,OpenAI,4,0.46,0.23,26.67
GT,Decision Making,Stability AI,3,0.34,12.5,0.22
GT,Problem Solving,Stability AI,3,0.34,12.5,0.19
GT,Theory of Mind,Mistral AI,3,0.34,0.59,1.99
GT,Personality,Anthropic,3,0.34,0.53,3.49
GT,Social Reasoning,Stability AI,3,0.34,12.5,0.3
GT,Learning,Stability AI,3,0.34,12.5,0.39
GT,Empathy,Hugging Face,3,0.34,2.31,1.17
GT,Perception,Stability AI,3,0.34,12.5,0.38
GT,Problem Solving,Cohere,2,0.23,10.0,0.13
GT,Empathy,Cohere,2,0.23,10.0,0.78
GT,Emotion,Cohere,2,0.23,10.0,0.28
GT,Decision Making,Cohere,2,0.23,10.0,0.15
GT,Social Reasoning,Cohere,2,0.23,10.0,0.2
GT,Learning,Databricks / MosaicML,2,0.23,12.5,0.26
GT,Reasoning,Databricks / MosaicML,2,0.23,12.5,0.09
GT,Social Reasoning,Databricks / MosaicML,2,0.23,12.5,0.2
GT,Decision Making,Databricks / MosaicML,2,0.23,12.5,0.15
GT,Problem Solving,Databricks / MosaicML,2,0.23,12.5,0.13
GT,Attention,Stability AI,2,0.23,8.33,0.25
GT,Memory,Stability AI,1,0.11,4.17,0.15
GT,Personality,NVIDIA / NeMo,1,0.11,0.88,1.16
GT,Moral Cognition,Cohere,1,0.11,5.0,0.21
GT,Theory of Mind,Cohere,1,0.11,5.0,0.66
GT,Perception,Databricks / MosaicML,1,0.11,6.25,0.13
GT,Cognitive Load,Hugging Face,1,0.11,0.77,6.67
GT,Emotion,Stability AI,1,0.11,4.17,0.14
GT,Emotion,Databricks / MosaicML,1,0.11,6.25,0.14
GT,Theory of Mind,NVIDIA / NeMo,1,0.11,0.88,0.66
GT,Attention,Cohere,1,0.11,5.0,0.13
GT,Empathy,Databricks / MosaicML,1,0.11,6.25,0.39
GT,Cognitive Load,Google DeepMind,1,0.11,0.09,6.67
GT,Memory,Cohere,1,0.11,5.0,0.15
GT,Perception,Cohere,1,0.11,5.0,0.13
GT,Learning,Cohere,1,0.11,5.0,0.13
GT,Attention,Databricks / MosaicML,1,0.11,6.25,0.13
GT,Moral Cognition,Databricks / MosaicML,1,0.11,6.25,0.21
GT,Memory,Databricks / MosaicML,1,0.11,6.25,0.15
GT,Cognitive Load,Alibaba / Qwen team,1,0.11,0.06,6.67
