,count,percent
efficientnetbilstm,2,0.02
multivae,2,0.02
baichuan213b,2,0.02
chatgpt41mini,2,0.02
qinstructblip,2,0.02
gpt217b,2,0.02
qwen206b,2,0.02
deepseekv31thinking,2,0.02
mimovl7bsft,2,0.02
dolphin291llama38b,2,0.02
llama2mathchat13b,2,0.02
internvl358bft,2,0.02
minicpmv25,2,0.02
mplugowl37b,2,0.02
internvl3538bthink,2,0.02
gpt4v,2,0.02
metallama318b,2,0.02
gptuner,2,0.02
multiqampnetbasecosv1,2,0.02
unimol,2,0.02
selfcheckgptnli,2,0.02
ldiffrec,2,0.02
llama3211bvisioninstruct,2,0.02
phi314b,2,0.02
nemotronnano12b,2,0.02
chatglm26b,2,0.02
gpt240b,2,0.02
doubao15vlpro,2,0.02
betaregression,2,0.02
hilgpt,2,0.02
finetunedllama,2,0.02
qwen3turbo,2,0.02
o3minimedium,2,0.02
claude37sonnetthinking,2,0.02
gpt4o202405013,2,0.02
ministral8binstruct2410,2,0.02
palm2,2,0.02
huatuogpto170b,2,0.02
baichuanm1,2,0.02
gpt2345m,2,0.02
llamaguard28b,2,0.02
yehia7bdporeasoningpreview,2,0.02
marcollmarv2,2,0.02
unsupervisedbaseline,2,0.02
qwen3vl30ba3binstruct,2,0.02
llama4scout17b16einstruct,2,0.02
qwen1518b,2,0.02
bleurtmodel,2,0.02
spatialgeoha,2,0.02
ours,2,0.02
latxallama3170binstruct,2,0.02
autoformer,2,0.02
grok41,2,0.02
llavav1634b,2,0.02
gpt41vision,2,0.02
titanembedtextv1,2,0.02
tabler1sft7b,2,0.02
tabler1zero7b,2,0.02
llama234b,2,0.02
doubao15visionpro,2,0.02
llama165b,2,0.02
reledalpha02,2,0.02
mistralft1,2,0.02
vila1513b,2,0.02
signroundv1,2,0.02
qwen25math7bsimplerlzoo,2,0.02
llama2exit,2,0.02
bagel,2,0.02
qwen3emb4b,2,0.02
shieldgemma2b,2,0.02
qwen257b4bit,2,0.02
llama27b4bit,2,0.02
shearedllama13bpruned,2,0.02
shearedllama13bsharegpt,2,0.02
yolov11globalonlymlge,2,0.02
pydrop,2,0.02
claudeopus30,2,0.02
cllmrec,2,0.02
gcarec,2,0.02
llm4cdsr,2,0.02
genegpt,2,0.02
llama31turbo,2,0.02
nrpagdlevel1,2,0.02
dpdpsystem12,2,0.02
dpdpwospt,2,0.02
videoperceiver3b,2,0.02
grok4fastnonreasoning,2,0.02
llama213bft,2,0.02
qwen25coder05b,2,0.02
llama130b,2,0.02
llama3211bvisioninstructturbo,2,0.02
gpt4ominisearchpreview,2,0.02
llama31telco,2,0.02
baichuan213bchat,2,0.02
flamingo3b,2,0.02
llambo,2,0.02
redpajamaincite3b,2,0.02
chinesellama213b,2,0.02
bgelargeenv15,2,0.02
resnext503d,2,0.02
dynaguard4b,2,0.02
qwen24b,2,0.02
qwen3omni,2,0.02
qwen314bchat,2,0.02
llama2progchat13b,2,0.02
qwen34bsft,2,0.02
unifiedio2xxl,2,0.02
deepseekr1distill32b,2,0.02
chubert,2,0.02
metallama3170b,2,0.02
expairtllm,1,0.01
